3813;Limnothlypis;swainsonii;Swainson's Warbler;;Darrell L. Peterson;United States;GREAT DISMAL SWAMP, VA;;;SONG;s warbler.mp3;http://www.xeno-canto.org/sounds/uploaded/XARDMMZZCD/s warbler.mp3;http://www.xeno-canto.org/sounds/uploaded/XARDMMZZCD/ffts/tb/s warbler.png
78712;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song;SwainsonsWarbler4.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/SwainsonsWarbler4.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/SwainsonsWarbler4.png
78713;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song;SwainsonsWarbler5.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/SwainsonsWarbler5.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/SwainsonsWarbler5.png
78714;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song;SwainsonsWarbler6.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/SwainsonsWarbler6.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/SwainsonsWarbler6.png
78715;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song;SwainsonsWarbler7.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/SwainsonsWarbler7.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/SwainsonsWarbler7.png
78716;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song;SwainsonsWarbler8.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/SwainsonsWarbler8.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/SwainsonsWarbler8.png
78717;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song;SwainsonsWarbler9.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/SwainsonsWarbler9.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/SwainsonsWarbler9.png
78718;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song;SwainsonsWarbler91.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/SwainsonsWarbler91.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/SwainsonsWarbler91.png
78719;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song;SwainsonsWarbler92.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/SwainsonsWarbler92.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/SwainsonsWarbler92.png
82120;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Call;SwainsonsWarbler93.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/SwainsonsWarbler93.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/SwainsonsWarbler93.png
82121;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song;SwainsonsWarbler94.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/SwainsonsWarbler94.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/SwainsonsWarbler94.png
82122;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song;SwainsonsWarbler95.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/SwainsonsWarbler95.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/SwainsonsWarbler95.png
82123;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song;SwainsonsWarbler96.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/SwainsonsWarbler96.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/SwainsonsWarbler96.png
82124;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song;SwainsonsWarbler97.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/SwainsonsWarbler97.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/SwainsonsWarbler97.png
82125;Limnothlypis;swainsonii;Swainson's Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song;SwainsonsWarbler98.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/SwainsonsWarbler98.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/SwainsonsWarbler98.png
97590;Limnothlypis;swainsonii;Swainson's Warbler;;Stuart Fisher;United States;Big Creek Trail - Forsyth, Georgia;34.151;-84.219;Song;Mystery warbler.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/Mystery warbler.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/tb/Mystery warbler.png
98627;Limnothlypis;swainsonii;Swainson's Warbler;;Jerome Fischer;United States;Jesper, Texas;;;Song;Swainsons Warbler_ Texas 05.mp3;http://www.xeno-canto.org/sounds/uploaded/JPBSNBUUEF/Swainsons Warbler_ Texas 05.mp3;http://www.xeno-canto.org/sounds/uploaded/JPBSNBUUEF/ffts/tb/Swainsons Warbler_ Texas 05.png
