8745;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Herman van Oosten;Peru;Riverisland in front of Iquitos, Loreto;;;song;sweetsong_islandIquitosocto.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/sweetsong_islandIquitosocto.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/ffts/tb/sweetsong_islandIquitosocto.png
57448;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal de Cordoba, Bogota, Cundinamarca;;;Song;Agelaius icterocephalus_Humedal de Cordoba_Bogota_Cundinamarca_Colombia_10AGO2007 0915hs az_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Agelaius icterocephalus_Humedal de Cordoba_Bogota_Cundinamarca_Colombia_10AGO2007 0915hs az_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Agelaius icterocephalus_Humedal de Cordoba_Bogota_Cundinamarca_Colombia_10AGO2007 0915hs az_Bernabe Lopez-Lanus.png
57449;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal de Cordoba, Bogota, Cundinamarca;;;Song;Agelaius icterocephalus_Humedal de Cordoba_Bogota_Cundinamarca_Colombia_10AGO2007 0915hs b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Agelaius icterocephalus_Humedal de Cordoba_Bogota_Cundinamarca_Colombia_10AGO2007 0915hs b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Agelaius icterocephalus_Humedal de Cordoba_Bogota_Cundinamarca_Colombia_10AGO2007 0915hs b_Bernabe Lopez-Lanus.png
57450;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Bernabe Lopez-Lanus;Colombia;Humedal de Cordoba, Bogota, Cundinamarca;;;Song;Agelaius icterocephalus_Humedal de Cordoba_Bogota_Cundinamarca_Colombia_10AGO2007 0915hs d_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Agelaius icterocephalus_Humedal de Cordoba_Bogota_Cundinamarca_Colombia_10AGO2007 0915hs d_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Agelaius icterocephalus_Humedal de Cordoba_Bogota_Cundinamarca_Colombia_10AGO2007 0915hs d_Bernabe Lopez-Lanus.png
59667;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Ken Allaire;Panama;El Real, Darien Province;;;flight call;yellhoodblackfltreal100710.mp3;http://www.xeno-canto.org/sounds/uploaded/AEWPPXBBYE/yellhoodblackfltreal100710.mp3;http://www.xeno-canto.org/sounds/uploaded/AEWPPXBBYE/ffts/tb/yellhoodblackfltreal100710.png
59668;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Ken Allaire;Panama;El Real, Darien Province;;;song;yellhoodblackreal100710.mp3;http://www.xeno-canto.org/sounds/uploaded/AEWPPXBBYE/yellhoodblackreal100710.mp3;http://www.xeno-canto.org/sounds/uploaded/AEWPPXBBYE/ffts/tb/yellhoodblackreal100710.png
88778;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Oswaldo Cortes;Colombia;humedal jaboque, bogota;;;;crhsyomus ictero_ zonotrichia capensis en jaboque.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/crhsyomus ictero_ zonotrichia capensis en jaboque.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/crhsyomus ictero_ zonotrichia capensis en jaboque.png
89326;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Oswaldo Cortes;Colombia;Humedal Jaboque, ciudad de Bogota;4.7075;-74.1278;songs;agelaius humedal jaboque_con ruido 2mp3.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/agelaius humedal jaboque_con ruido 2mp3.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/agelaius humedal jaboque_con ruido 2mp3.png
89327;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Oswaldo Cortes;Colombia;Humedal Jaboque, ciudad de Bogota;4.7075;-74.1278;songs;agelaius humedal jaboque_con ruido 22mp3.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/agelaius humedal jaboque_con ruido 22mp3.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/agelaius humedal jaboque_con ruido 22mp3.png
89328;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Oswaldo Cortes;Colombia;Humedal Jaboque, ciudad de Bogota;4.7075;-74.1278;songs;agelaius humedal jaboque_con ruido.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/agelaius humedal jaboque_con ruido.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/agelaius humedal jaboque_con ruido.png
91780;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Oswaldo Cortes;Colombia;Humedal Jaboque, ciudad de Bogota;4.7075;-74.1278;songs;agelaius jaboque.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/agelaius jaboque.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/agelaius jaboque.png
91782;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Oswaldo Cortes;Colombia;Humedal Jaboque, ciudad de Bogota;4.7075;-74.1278;songs;agelaius pa xeno canto (2).mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/agelaius pa xeno canto (2).mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/agelaius pa xeno canto (2).png
91800;Chrysomus;icterocephalus;Yellow-hooded Blackbird;;Oswaldo Cortes;Colombia;Humedal Jaboque, ciudad de Bogota;4.7075;-74.1278;songs;juvenil de agelaius aprendiendo a cantar 22.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/juvenil de agelaius aprendiendo a cantar 22.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/juvenil de agelaius aprendiendo a cantar 22.png
