5750;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Alvaro Riccetto;Uruguay;near Minas, Lavalleja;-34.3701;-55.2251;A lot of calls;canba2.alvaricc.mp3;http://www.xeno-canto.org/sounds/uploaded/IGDDGNGPAL/canba2.alvaricc.mp3;http://www.xeno-canto.org/sounds/uploaded/IGDDGNGPAL/ffts/tb/canba2.alvaricc.png
49496;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Rosendo Fraga;Argentina;Estancia San Juan Poriahu, Corrientes;;;song;MARSHBIRD Brown-and-yellow_03_Estancia San Juan Poriahu_Corrientes_AR_27MAY00_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/MARSHBIRD Brown-and-yellow_03_Estancia San Juan Poriahu_Corrientes_AR_27MAY00_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/tb/MARSHBIRD Brown-and-yellow_03_Estancia San Juan Poriahu_Corrientes_AR_27MAY00_Rosendo Fraga.png
49497;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Rosendo Fraga;Argentina;Estancia San Juan Poriahu, Corrientes;;;song;MARSHBIRD Brown-and-yellow_04_Estancia San Juan Poriahu_Corrientes_AR_27MAY00_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/MARSHBIRD Brown-and-yellow_04_Estancia San Juan Poriahu_Corrientes_AR_27MAY00_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/tb/MARSHBIRD Brown-and-yellow_04_Estancia San Juan Poriahu_Corrientes_AR_27MAY00_Rosendo Fraga.png
49498;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Rosendo Fraga;Argentina;Estancia San Juan Poriahu, Corrientes;;;song;MARSHBIRD Brown-and-yellow_05_Estancia San Juan Poriahu_Corrientes_AR_27MAY00_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/MARSHBIRD Brown-and-yellow_05_Estancia San Juan Poriahu_Corrientes_AR_27MAY00_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/tb/MARSHBIRD Brown-and-yellow_05_Estancia San Juan Poriahu_Corrientes_AR_27MAY00_Rosendo Fraga.png
49499;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Rosendo Fraga;Argentina;Estancia San Juan Poriahu, Corrientes;;;song;MARSHBIRD Brown-and-yellow_06_Estancia San Juan Poriahu_Corrientes_AR_26MAR99_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/MARSHBIRD Brown-and-yellow_06_Estancia San Juan Poriahu_Corrientes_AR_26MAR99_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/tb/MARSHBIRD Brown-and-yellow_06_Estancia San Juan Poriahu_Corrientes_AR_26MAR99_Rosendo Fraga.png
49500;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Rosendo Fraga;Argentina;Estancia El Palenque, Lavalle, Buenos Aires;;;song;MARSHBIRD Brown-and-yellow_07_Estancia El Palenque_Lavalle_Buenos Aires_23DIC02_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/MARSHBIRD Brown-and-yellow_07_Estancia El Palenque_Lavalle_Buenos Aires_23DIC02_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/tb/MARSHBIRD Brown-and-yellow_07_Estancia El Palenque_Lavalle_Buenos Aires_23DIC02_Rosendo Fraga.png
49501;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Rosendo Fraga;Argentina;Estancia San Juan Poriahu, Corrientes;;;song;MARSHBIRD Brown-and-yellow_08_Estancia San Juan Poriahu_Corrientes_AR_26MAR99_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/MARSHBIRD Brown-and-yellow_08_Estancia San Juan Poriahu_Corrientes_AR_26MAR99_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/tb/MARSHBIRD Brown-and-yellow_08_Estancia San Juan Poriahu_Corrientes_AR_26MAR99_Rosendo Fraga.png
49502;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Rosendo Fraga;Argentina;Estancia San Juan Poriahu, Corrientes;;;song;MARSHBIRD Brown-and-yellow_09_Estancia San Juan Poriahu_Corrientes_AR_27MAY00_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/MARSHBIRD Brown-and-yellow_09_Estancia San Juan Poriahu_Corrientes_AR_27MAY00_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/tb/MARSHBIRD Brown-and-yellow_09_Estancia San Juan Poriahu_Corrientes_AR_27MAY00_Rosendo Fraga.png
49503;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Rosendo Fraga;Argentina;Estancia San Juan Poriahu, Corrientes;;;song;MARSHBIRD Brown-and-yellow_11_Estancia San Juan Poriahu_Corrientes_AR_25MAR99_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/MARSHBIRD Brown-and-yellow_11_Estancia San Juan Poriahu_Corrientes_AR_25MAR99_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/tb/MARSHBIRD Brown-and-yellow_11_Estancia San Juan Poriahu_Corrientes_AR_25MAR99_Rosendo Fraga.png
49504;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Rosendo Fraga;Argentina;Estancia San Juan Poriahu, Corrientes;;;song;MARSHBIRD Brown-and-yellow_12_Estancia San Juan Poriahu_Corrientes_AR_27MAY00_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/MARSHBIRD Brown-and-yellow_12_Estancia San Juan Poriahu_Corrientes_AR_27MAY00_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/tb/MARSHBIRD Brown-and-yellow_12_Estancia San Juan Poriahu_Corrientes_AR_27MAY00_Rosendo Fraga.png
49505;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Rosendo Fraga;Argentina;Estancia Las Rosas, Ceibas, Entre Rios;;;song;MARSHBIRD Brown-and-yellow_13_Estancia Las Rosas_Ceibas_Entre Rios_AR_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/MARSHBIRD Brown-and-yellow_13_Estancia Las Rosas_Ceibas_Entre Rios_AR_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/tb/MARSHBIRD Brown-and-yellow_13_Estancia Las Rosas_Ceibas_Entre Rios_AR_Rosendo Fraga.png
49506;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Rosendo Fraga;Argentina;Gualeguaychu, Entre Rios;-33.014997;-58.51902;song;MARSHBIRD Brown-and-yellow_20_Gualeguaychu_Entre Rios_AR_1DIC01_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/MARSHBIRD Brown-and-yellow_20_Gualeguaychu_Entre Rios_AR_1DIC01_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/tb/MARSHBIRD Brown-and-yellow_20_Gualeguaychu_Entre Rios_AR_1DIC01_Rosendo Fraga.png
49507;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Rosendo Fraga;Argentina;Estancia Talas Grandes, Castelli, Buenos Aires;;;song;MARSHBIRD Brown-and-yellow_22_Estancia Talas Grandes_Castelli_Buenos Aires_AR_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/MARSHBIRD Brown-and-yellow_22_Estancia Talas Grandes_Castelli_Buenos Aires_AR_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/tb/MARSHBIRD Brown-and-yellow_22_Estancia Talas Grandes_Castelli_Buenos Aires_AR_Rosendo Fraga.png
50166;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Miguel Angel Roda;Argentina;Saladillo, Buenos Aires;-35.641952;-59.775238;song;MARSHBIRD Brown-and-yellow_18_Saladillo_Buenos Aires_AR_1984_Miguel Angel Roda.mp3;http://www.xeno-canto.org/sounds/uploaded/FKVINBDVIO/MARSHBIRD Brown-and-yellow_18_Saladillo_Buenos Aires_AR_1984_Miguel Angel Roda.mp3;http://www.xeno-canto.org/sounds/uploaded/FKVINBDVIO/ffts/tb/MARSHBIRD Brown-and-yellow_18_Saladillo_Buenos Aires_AR_1984_Miguel Angel Roda.png
50167;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Miguel Angel Roda;Argentina;Saladillo, Buenos Aires;-35.641952;-59.775238;song;MARSHBIRD Brown-and-yellow_19_Saladillo_Buenos Aires_AR_1984_Miguel Angel Roda.mp3;http://www.xeno-canto.org/sounds/uploaded/FKVINBDVIO/MARSHBIRD Brown-and-yellow_19_Saladillo_Buenos Aires_AR_1984_Miguel Angel Roda.mp3;http://www.xeno-canto.org/sounds/uploaded/FKVINBDVIO/ffts/tb/MARSHBIRD Brown-and-yellow_19_Saladillo_Buenos Aires_AR_1984_Miguel Angel Roda.png
51521;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Bernabe Lopez-Lanus;Argentina;Saladillo-La Rinconada, Buenos Aires;;;song;MARSHBIRD Brown-and-yellow_10_Saladillo-La Rinconada_Buenos Aires_AR_20JUN04_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/MARSHBIRD Brown-and-yellow_10_Saladillo-La Rinconada_Buenos Aires_AR_20JUN04_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/MARSHBIRD Brown-and-yellow_10_Saladillo-La Rinconada_Buenos Aires_AR_20JUN04_B Lopez-Lanus.png
51522;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Bernabe Lopez-Lanus;Argentina;Saladillo-La Rinconada, Buenos Aires;;;song;MARSHBIRD Brown-and-yellow_14_Saladillo-La Rinconada_Buenos Aires_AR_20JUN04_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/MARSHBIRD Brown-and-yellow_14_Saladillo-La Rinconada_Buenos Aires_AR_20JUN04_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/MARSHBIRD Brown-and-yellow_14_Saladillo-La Rinconada_Buenos Aires_AR_20JUN04_B Lopez-Lanus.png
51523;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Bernabe Lopez-Lanus;Argentina;Saladillo-La Rinconada, Buenos Aires;;;call;MARSHBIRD Brown-and-yellow_16_Saladillo-La Rinconada_Buenos Aires_AR_24OCT014_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/MARSHBIRD Brown-and-yellow_16_Saladillo-La Rinconada_Buenos Aires_AR_24OCT014_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/MARSHBIRD Brown-and-yellow_16_Saladillo-La Rinconada_Buenos Aires_AR_24OCT014_B Lopez-Lanus.png
51524;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Bernabe Lopez-Lanus;Argentina;Tapalque, Buenos Aires;;;song;MARSHBIRD Brown-and-yellow_17_Tapalque_Buenos Aires_AR_2ENE04_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/MARSHBIRD Brown-and-yellow_17_Tapalque_Buenos Aires_AR_2ENE04_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/MARSHBIRD Brown-and-yellow_17_Tapalque_Buenos Aires_AR_2ENE04_Bernabe Lopez-Lanus.png
57625;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Bernabe Lopez-Lanus;Argentina;Bañado Los Osos (Estancia Los Osos), Romang, San Javier, Santa Fe;;;Calls;Pseudoleistes virescens_Banado Los Osos (Ea Los Osos)_Romang_San Javier_Santa Fe_Argentina_25MAR2010 1730hs c_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Pseudoleistes virescens_Banado Los Osos (Ea Los Osos)_Romang_San Javier_Santa Fe_Argentina_25MAR2010 1730hs c_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Pseudoleistes virescens_Banado Los Osos (Ea Los Osos)_Romang_San Javier_Santa Fe_Argentina_25MAR2010 1730hs c_Bernabe Lopez-Lanus.png
60550;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Miguel Castelino;Argentina;Ita Ibate, Corrientes;;;song;MARSHBIRD Brown-and-yellow_21_Ita Ibate_Corrientes_AR_19NOV99_Miguel Castelino.mp3;http://www.xeno-canto.org/sounds/uploaded/RCJCABZSNP/MARSHBIRD Brown-and-yellow_21_Ita Ibate_Corrientes_AR_19NOV99_Miguel Castelino.mp3;http://www.xeno-canto.org/sounds/uploaded/RCJCABZSNP/ffts/tb/MARSHBIRD Brown-and-yellow_21_Ita Ibate_Corrientes_AR_19NOV99_Miguel Castelino.png
61271;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Bernabe Lopez-Lanus;Argentina;Campo Avalos, Estancia San Pedro-rio Uruguay, Monte Caseros, Corrientes;;;Song;3233 Pseudoleistes virescens_Campo Avalos_Estancia San Pedro-rio Uruguay_Monte Caseros_Corrientes_Arg_18AGO2010_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/3233 Pseudoleistes virescens_Campo Avalos_Estancia San Pedro-rio Uruguay_Monte Caseros_Corrientes_Arg_18AGO2010_B Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/3233 Pseudoleistes virescens_Campo Avalos_Estancia San Pedro-rio Uruguay_Monte Caseros_Corrientes_Arg_18AGO2010_B Lopez-Lanus.png
61717;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Sofia Wasylyk;Argentina;San Cayetano, Buenos Aires;;;song;MARSHBIRD Brown-and-yellow_15_San Cayetano_Buenos Aires_AR_MAY01_Sofia Wasylyk.mp3;http://www.xeno-canto.org/sounds/uploaded/LJJBXKZHHB/MARSHBIRD Brown-and-yellow_15_San Cayetano_Buenos Aires_AR_MAY01_Sofia Wasylyk.mp3;http://www.xeno-canto.org/sounds/uploaded/LJJBXKZHHB/ffts/tb/MARSHBIRD Brown-and-yellow_15_San Cayetano_Buenos Aires_AR_MAY01_Sofia Wasylyk.png
83107;Pseudoleistes;virescens;Brown-and-yellow Marshbird;;Rafael Antunes Dias;Brazil;Banhado do Maçarico region, Rio Grande, Rio Grande do Sul;-32.111;-52.261;calls;Pseudoleistes_virescens_rafael_dias_08_jul_2011_15.mp3;http://www.xeno-canto.org/sounds/uploaded/XJSWEWQCEC/Pseudoleistes_virescens_rafael_dias_08_jul_2011_15.mp3;http://www.xeno-canto.org/sounds/uploaded/XJSWEWQCEC/ffts/tb/Pseudoleistes_virescens_rafael_dias_08_jul_2011_15.png
