52502;Atlapetes;schistaceus;Slaty Brush Finch;;Bernabe Lopez-Lanus;Colombia;Finca La Selva (Quebrada San Jose), sobre Toche, Cajamarca, Tolima;;;Song;Atlapetes schistaceus_Quebrada San Jose_Arriba de Toche_Toche_Cajamarca_Tolima_Colombia_13JUL1998 c 6 y 36_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Atlapetes schistaceus_Quebrada San Jose_Arriba de Toche_Toche_Cajamarca_Tolima_Colombia_13JUL1998 c 6 y 36_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Atlapetes schistaceus_Quebrada San Jose_Arriba de Toche_Toche_Cajamarca_Tolima_Colombia_13JUL1998 c 6 y 36_Bernabe Lopez-Lanus.png
52503;Atlapetes;schistaceus;Slaty Brush Finch;;Bernabe Lopez-Lanus;Colombia;Finca La Selva (Quebrada San Jose), sobre Toche, Cajamarca, Tolima;;;Rattle;Andigena nigrirostris_Quebrada San Jose_Arriba de Toche_Toche_Cajamarca_Tolima_Colombia_17JUL1998 16 y 53_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Andigena nigrirostris_Quebrada San Jose_Arriba de Toche_Toche_Cajamarca_Tolima_Colombia_17JUL1998 16 y 53_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Andigena nigrirostris_Quebrada San Jose_Arriba de Toche_Toche_Cajamarca_Tolima_Colombia_17JUL1998 16 y 53_Bernabe Lopez-Lanus.png
53617;Atlapetes;schistaceus;Slaty Brush Finch;;Bernabe Lopez-Lanus;Colombia;El Bosque, Reserva Zona Alta Rio Quindio, Quindio;;;Alarm call;Atlapetes schistaceus_El Bosque_RN Zona Alta R Quindio_Quindio_Colombia_18OCT1998 c_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Atlapetes schistaceus_El Bosque_RN Zona Alta R Quindio_Quindio_Colombia_18OCT1998 c_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Atlapetes schistaceus_El Bosque_RN Zona Alta R Quindio_Quindio_Colombia_18OCT1998 c_Bernabe Lopez-Lanus.png
56354;Atlapetes;schistaceus;Slaty Brush Finch;;Pablo Florez;Colombia;Paramo Sonson.Sonson. Antioquia.;;;;Atlapetes schistaceus 1 A.mp3;http://www.xeno-canto.org/sounds/uploaded/ISWBQKPBGS/Atlapetes schistaceus 1 A.mp3;http://www.xeno-canto.org/sounds/uploaded/ISWBQKPBGS/ffts/tb/Atlapetes schistaceus 1 A.png
56421;Atlapetes;schistaceus;Slaty Brush Finch;;Bernabe Lopez-Lanus;Colombia;Entre La Romelia y El Planchon (PNN Munchique), Charguayaco, Vereda La Romelia, Mpio El Tambo, Cauca;;;Song;Atlapetes schistaceus_La Romelia-El Planchon_PN Munchique_El Tambo_Cauca_Colombia_30SEP2000 0630 hs a_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Atlapetes schistaceus_La Romelia-El Planchon_PN Munchique_El Tambo_Cauca_Colombia_30SEP2000 0630 hs a_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Atlapetes schistaceus_La Romelia-El Planchon_PN Munchique_El Tambo_Cauca_Colombia_30SEP2000 0630 hs a_Bernabe Lopez-Lanus.png
56423;Atlapetes;schistaceus;Slaty Brush Finch;;Bernabe Lopez-Lanus;Colombia;Entre La Romelia y El Planchon (PNN Munchique), Charguayaco, Vereda La Romelia, Mpio El Tambo, Cauca;;;Song;Atlapetes schistaceus_La Romelia-El Planchon_PN Munchique_El Tambo_Cauca_Colombia_30SEP2000 b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Atlapetes schistaceus_La Romelia-El Planchon_PN Munchique_El Tambo_Cauca_Colombia_30SEP2000 b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Atlapetes schistaceus_La Romelia-El Planchon_PN Munchique_El Tambo_Cauca_Colombia_30SEP2000 b_Bernabe Lopez-Lanus.png
65902;Atlapetes;schistaceus;Slaty Brush Finch;castaneifrons?;Daniel Lane;Venezuela;SW of Santo Domingo, Merida State;8.8259;-70.7567;calls;Atlapetes schistaceus080122_09T55.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Atlapetes schistaceus080122_09T55.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Atlapetes schistaceus080122_09T55.png
76987;Atlapetes;schistaceus;Slaty Brush Finch;;Pablo Florez;Colombia;Paramo Belmira;6.62;-75.638;;Atlapetes schistaceus 2.mp3;http://www.xeno-canto.org/sounds/uploaded/ISWBQKPBGS/Atlapetes schistaceus 2.mp3;http://www.xeno-canto.org/sounds/uploaded/ISWBQKPBGS/ffts/tb/Atlapetes schistaceus 2.png
88137;Atlapetes;schistaceus;Slaty Brush Finch;taczanowskii;Andrew Spencer;Peru;Apalla-Andamarca Road, Junin;-11.5453;-74.8109;song;Slaty Brush-Finch2011-10-2-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Slaty Brush-Finch2011-10-2-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Slaty Brush-Finch2011-10-2-1.png
88138;Atlapetes;schistaceus;Slaty Brush Finch;taczanowskii;Andrew Spencer;Peru;Puente Carrizales area, Satipo Road, Junin;-11.4867;-74.8859;call;Slaty Brush-Finch2011-10-1-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Slaty Brush-Finch2011-10-1-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Slaty Brush-Finch2011-10-1-2.png
